,code,desc,iure11,facto11,iure01,facto01,iure91,facto91,perifereia,nomos,dimos,dimenot,koinot,kath,article_kath,article_dim,lat,long,elev
12677,7204010102,Αγία Φωτιά,267,265,126,126,152,167,ΚΡΗΤΗΣ,ΛΑΣΙΘΙΟΥ,ΣΗΤΕΙΑΣ,ΣΗΤΕΙΑΣ,Σητείας,Αγία Φωτιά,η,η,,,
12678,7204010103,Ανεμομύλια,50,50,43,41,0,0,ΚΡΗΤΗΣ,ΛΑΣΙΘΙΟΥ,ΣΗΤΕΙΑΣ,ΣΗΤΕΙΑΣ,Σητείας,Ανεμομύλια,τα,τα,,,
12679,7204010104,Γιανυσάδα,0,0,0,0,0,0,ΚΡΗΤΗΣ,ΛΑΣΙΘΙΟΥ,ΣΗΤΕΙΑΣ,ΣΗΤΕΙΑΣ,Σητείας,Γιανυσάδα,η (νησίς),η (νησίς),,,
12680,7204010105,Δραγονάδα,0,0,0,0,0,0,ΚΡΗΤΗΣ,ΛΑΣΙΘΙΟΥ,ΣΗΤΕΙΑΣ,ΣΗΤΕΙΑΣ,Σητείας,Δραγονάδα,η (νησίς),η (νησίς),,,
12681,7204010106,Παξιμάδα,0,0,0,0,0,0,ΚΡΗΤΗΣ,ΛΑΣΙΘΙΟΥ,ΣΗΤΕΙΑΣ,ΣΗΤΕΙΑΣ,Σητείας,Παξιμάδα,η (νησίς),η (νησίς),,,
12682,7204010107,Πετράς,123,118,231,236,132,145,ΚΡΗΤΗΣ,ΛΑΣΙΘΙΟΥ,ΣΗΤΕΙΑΣ,ΣΗΤΕΙΑΣ,Σητείας,Πετράς,ο,ο,,,
12683,7204010108,Τρυπητός,124,124,103,107,0,0,ΚΡΗΤΗΣ,ΛΑΣΙΘΙΟΥ,ΣΗΤΕΙΑΣ,ΣΗΤΕΙΑΣ,Σητείας,Τρυπητός,ο,ο,,,
12684,7204010201,Άγιος Γεώργιος,74,70,95,114,131,129,ΚΡΗΤΗΣ,ΛΑΣΙΘΙΟΥ,ΣΗΤΕΙΑΣ,ΣΗΤΕΙΑΣ,Αγίου Γεωργίου Σητείας,Άγιος Γεώργιος,ο,ο,,,
12685,7204010202,Επάνω Επισκοπή,108,108,126,129,117,116,ΚΡΗΤΗΣ,ΛΑΣΙΘΙΟΥ,ΣΗΤΕΙΑΣ,ΣΗΤΕΙΑΣ,Αγίου Γεωργίου Σητείας,Επάνω Επισκοπή,η,η,35.13192,26.07384,
12686,7204010203,Σωτήρα,0,0,0,0,3,3,ΚΡΗΤΗΣ,ΛΑΣΙΘΙΟΥ,ΣΗΤΕΙΑΣ,ΣΗΤΕΙΑΣ,Αγίου Γεωργίου Σητείας,Σωτήρα,η,η,35.13452,26.06207,
12687,7204010301,Αχλάδια,199,196,237,302,260,305,ΚΡΗΤΗΣ,ΛΑΣΙΘΙΟΥ,ΣΗΤΕΙΑΣ,ΣΗΤΕΙΑΣ,Αχλαδίων,Αχλάδια,τα,τα,35.16597,26.05417,
12688,7204010302,Κιμουριώτης,5,5,0,26,6,13,ΚΡΗΤΗΣ,ΛΑΣΙΘΙΟΥ,ΣΗΤΕΙΑΣ,ΣΗΤΕΙΑΣ,Αχλαδίων,Κιμουριώτης,ο,ο,35.17825,26.05105,
12689,7204010303,Παρασπόρι,70,70,80,81,72,83,ΚΡΗΤΗΣ,ΛΑΣΙΘΙΟΥ,ΣΗΤΕΙΑΣ,ΣΗΤΕΙΑΣ,Αχλαδίων,Παρασπόριον,το,το,35.16559,26.02803,
12690,7204010401,Έξω Μουλιανά,247,252,332,356,512,525,ΚΡΗΤΗΣ,ΛΑΣΙΘΙΟΥ,ΣΗΤΕΙΑΣ,ΣΗΤΕΙΑΣ,Έξω Μουλιανών,Έξω Μουλιανά,τα,τα,35.16705,25.98829,
12691,7204010501,Κατσιδώνι,54,54,31,57,46,47,ΚΡΗΤΗΣ,ΛΑΣΙΘΙΟΥ,ΣΗΤΕΙΑΣ,ΣΗΤΕΙΑΣ,Κατσιδωνίου,Κατσιδώνιον,το,το,35.12803,26.12531,
12692,7204010502,Σανδάλι,8,8,37,43,29,34,ΚΡΗΤΗΣ,ΛΑΣΙΘΙΟΥ,ΣΗΤΕΙΑΣ,ΣΗΤΕΙΑΣ,Κατσιδωνίου,Σανδάλιον,το,το,35.12897,26.10498,
12693,7204010503,Σίτανος,34,34,58,69,84,91,ΚΡΗΤΗΣ,ΛΑΣΙΘΙΟΥ,ΣΗΤΕΙΑΣ,ΣΗΤΕΙΑΣ,Κατσιδωνίου,Σίτανος,η,η,35.11979,26.15562,
