asciiName,adminId2,adminId3,adminId1,lat,adminCode2,adminCode3,adminCode1,lng,toponymName,population,adminName3,adminName2,name,adminName1,elevation,greek_name,nomos
Agrilias,260310.0,8133850.0,6697805.0,38.44381,27.0,9120.0,ESYE22,20.54869,Agriliás,46,Kefalonia,ΚΕΦΑΛΛΗΝΙΑΣ,Agriliás,Ionian Islands,,Αγριλιάς,ΚΕΦΑΛΛΗΝΙΑΣ
Agora,252941.0,8133726.0,6697804.0,39.37558,18.0,9078.0,ESYE21,20.55644,Agorá,0,Souli,ΘΕΣΠΡΟΤΙΑΣ,Agorá,Epirus,,Αγορά,ΘΕΣΠΡΟΤΙΑΣ
Aetos,265508.0,8133701.0,6697810.0,38.70685,31.0,9124.0,ESYE23,21.08299,Aetós,0,Aktio-Vonitsa,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,Aetós,West Greece,,Αετός,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ
Aetopetra,261777.0,8133722.0,6697804.0,39.76913,17.0,9083.0,ESYE21,20.54135,Aetópetra,42,Zitsa,ΙΩΑΝΝΙΝΩΝ,Aetopetra,Epirus,,Αετόπετρα,ΙΩΑΝΝΙΝΩΝ
Sgara,264545.0,8133816.0,6697804.0,39.44933,20.0,9075.0,ESYE21,21.06003,Sgára,137,Central Tzoumerka,ΑΡΤΑΣ,Sgára,Epirus,,Σγάρα,ΑΡΤΑΣ
Sevasto,252941.0,8133726.0,6697804.0,39.42392,18.0,9078.0,ESYE21,20.47981,Sevastó,167,Souli,ΘΕΣΠΡΟΤΙΑΣ,Sevastó,Epirus,,Σεβαστό,ΘΕΣΠΡΟΤΙΑΣ
Serviana,261777.0,8133720.0,6697804.0,39.55336,17.0,9081.0,ESYE21,20.89823,Servianá,210,Dodoni,ΙΩΑΝΝΙΝΩΝ,Serviana,Epirus,,Σερβιανά,ΙΩΑΝΝΙΝΩΝ
Semeriza,252941.0,8133725.0,6697804.0,39.49356,18.0,9077.0,ESYE21,20.40978,Semériza,40,Igoumenitsa,ΘΕΣΠΡΟΤΙΑΣ,Semériza,Epirus,,Σεμέριζα,ΘΕΣΠΡΟΤΙΑΣ
Seltsana,261777.0,8133722.0,6697804.0,39.66517,17.0,9083.0,ESYE21,20.56486,Séltsana,17,Zitsa,ΙΩΑΝΝΙΝΩΝ,Seltsana,Epirus,,Σέλτσανα,ΙΩΑΝΝΙΝΩΝ
Sarakinadhon,251276.0,8133854.0,6697805.0,37.78951,28.0,9116.0,ESYE22,20.84825,Sarakinádhon,619,Zakynthos,ΖΑΚΥΝΘΟΥ,Sarakinado,Ionian Islands,,Σαρακηνάδο,ΖΑΚΥΝΘΟΥ
Samonida,252941.0,8133726.0,6697804.0,39.34486,18.0,9078.0,ESYE21,20.65069,Samonída,70,Souli,ΘΕΣΠΡΟΤΙΑΣ,Samonída,Epirus,,Σαμονίδα,ΘΕΣΠΡΟΤΙΑΣ
Roumania,264545.0,6943434.0,6697804.0,39.24365,20.0,9073.0,ESYE21,20.99609,Roumánia,16,Arta,ΑΡΤΑΣ,Roumania,Epirus,,Ρουμάνια,ΑΡΤΑΣ
Romanos,261777.0,8133720.0,6697804.0,39.38008,17.0,9081.0,ESYE21,20.70339,Romanós,403,Dodoni,ΙΩΑΝΝΙΝΩΝ,Romanos,Epirus,,Ρωμανός,ΙΩΑΝΝΙΝΩΝ
