,desc,iure11,facto11,iure01,facto01,iure91,facto91,perifereia,nomos,dimos,dimenot,koinot,kath,article_kath,article_dim,lat,long,elev,mean_temp
61,Νέ Καλλυντήρι,241,235,228,224,210,210,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΑΡΡΙΑΝΩΝ,ΦΙΛΛΥΡΑΣ,Νέου Καλλυντήριου,Νέον Καλλυντήριον,το,το,,,,
62,Νεύρα,158,158,168,165,107,104,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΑΡΡΙΑΝΩΝ,ΦΙΛΛΥΡΑΣ,Νεύρων,Νεύρα,τα,τα,41.12601,25.6483,,
63,Ομηρικό,313,303,323,326,301,301,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΑΡΡΙΑΝΩΝ,ΦΙΛΛΥΡΑΣ,Ομηρικού,Ομηρικόν,το,το,41.14486,25.5542,,
64,Πάσσος,747,718,689,686,726,733,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΑΡΡΙΑΝΩΝ,ΦΙΛΛΥΡΑΣ,Πάσσου,Πάσσος,ο,ο,41.09569,25.5839,,
65,Πατερμά,109,109,114,111,103,103,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΑΡΡΙΑΝΩΝ,ΦΙΛΛΥΡΑΣ,Πατερμών,Πατερμά,τα,τα,41.20137,25.51734,,
66,Ραγάδα,270,262,366,366,373,375,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΑΡΡΙΑΝΩΝ,ΦΙΛΛΥΡΑΣ,Ραγάδας,Ραγάδα,η,η,41.21777,25.72873,,
67,Σκιάδα,86,88,112,110,110,110,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΑΡΡΙΑΝΩΝ,ΦΙΛΛΥΡΑΣ,Σκιάδας,Σκιάδα,η,η,41.15927,25.61516,,
68,Αρριανά,1147,1146,1144,1139,1070,1067,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΑΡΡΙΑΝΩΝ,ΑΡΡΙΑΝΩΝ,Αρριανών,Αρριανά,τα,τα,41.08131,25.69494,,
69,Αγιχώρι,226,225,238,236,226,225,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΑΡΡΙΑΝΩΝ,ΑΡΡΙΑΝΩΝ,Αγιοχωρίου,Αγιοχώριον,το,το,,,,
70,Δαρμένη,314,314,329,329,269,271,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΑΡΡΙΑΝΩΝ,ΑΡΡΙΑΝΩΝ,Δαρμένης,Δαρμένη,η,η,41.14335,25.68145,,
71,Δειλινά,307,314,341,341,328,329,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΑΡΡΙΑΝΩΝ,ΑΡΡΙΑΝΩΝ,Δειλινών,Δειλινά,τα,τα,41.11131,25.65331,,
72,Ήπι,265,265,301,297,251,252,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΑΡΡΙΑΝΩΝ,ΑΡΡΙΑΝΩΝ,Ηπίου,Ήπιον,το,το,41.08188,25.76341,,
73,Κίνυρα,171,171,219,219,209,212,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΑΡΡΙΑΝΩΝ,ΑΡΡΙΑΝΩΝ,Κινύρων,Κίνυρα,τα,τα,,,,
