,code,desc,iure11,facto11,iure01,facto01,iure91,facto91,perifereia,nomos,dimos,dimenot,koinot,kath,article_kath,article_dim,lat,long,elev,astikotita,orinotita
10583,4615401010202,Αγία Κυριακή,3,3,8,2,4,4,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΙΚΑΡΙΑΣ,ΙΚΑΡΙΑΣ,ΑΓΙΟΥ ΚΗΡΥΚΟΥ,Περδικίου,Αγία Κυριακή,η,η,,,,False,1.0
10584,4615401010203,Κιόι,36,36,26,25,31,30,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΙΚΑΡΙΑΣ,ΙΚΑΡΙΑΣ,ΑΓΙΟΥ ΚΗΡΥΚΟΥ,Περδικίου,Κιόνιον,το,το,,,,False,1.0
10585,4615401010204,Μηλεωπό,31,32,32,32,38,46,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΙΚΑΡΙΑΣ,ΙΚΑΡΙΑΣ,ΑΓΙΟΥ ΚΗΡΥΚΟΥ,Περδικίου,Μηλεωπόν,το,το,37.63758,26.24622,,False,1.0
10586,4615401010205,Μοοκάμπι,73,73,88,85,95,99,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΙΚΑΡΙΑΣ,ΙΚΑΡΙΑΣ,ΑΓΙΟΥ ΚΗΡΥΚΟΥ,Περδικίου,Μονοκάμπιον,το,το,,,,False,1.0
10587,4615401010206,Πλουμάρι,34,32,52,50,53,52,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΙΚΑΡΙΑΣ,ΙΚΑΡΙΑΣ,ΑΓΙΟΥ ΚΗΡΥΚΟΥ,Περδικίου,Πλουμάριον,το,το,,,,False,1.0
10588,4615401010301,Χρυσόστομος,121,121,155,156,178,167,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΙΚΑΡΙΑΣ,ΙΚΑΡΙΑΣ,ΑΓΙΟΥ ΚΗΡΥΚΟΥ,Χρυσοστόμου,Χρυσόστομος,ο,ο,,,,False,2.0
10589,4615401010302,Βαρδαράδες,5,4,24,23,16,16,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΙΚΑΡΙΑΣ,ΙΚΑΡΙΑΣ,ΑΓΙΟΥ ΚΗΡΥΚΟΥ,Χρυσοστόμου,Βαρδαράδες,οι,οι,37.57461,26.20136,,False,2.0
10590,4615401010303,Βαώνη,13,13,13,13,14,14,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΙΚΑΡΙΑΣ,ΙΚΑΡΙΑΣ,ΑΓΙΟΥ ΚΗΡΥΚΟΥ,Χρυσοστόμου,Βαώνη,η,η,37.57694,26.21621,,False,2.0
10591,4615401010304,Λιβάδι,5,5,18,19,6,6,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΙΚΑΡΙΑΣ,ΙΚΑΡΙΑΣ,ΑΓΙΟΥ ΚΗΡΥΚΟΥ,Χρυσοστόμου,Λιβάδιον,το,το,,,,False,2.0
10592,4615401010305,Πλαγιά,78,77,114,121,88,92,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΙΚΑΡΙΑΣ,ΙΚΑΡΙΑΣ,ΑΓΙΟΥ ΚΗΡΥΚΟΥ,Χρυσοστόμου,Πλαγιά,η,η,,,,False,2.0
10593,4615401020101,Εύδηλος,501,492,498,461,455,438,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΙΚΑΡΙΑΣ,ΙΚΑΡΙΑΣ,ΕΥΔΗΛΟΥ,Ευδήλου,Εύδηλος,ο,ο,37.63054,26.17755,,False,1.0
10594,4615401020102,Αγία Κυριακή,80,81,68,74,56,56,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΙΚΑΡΙΑΣ,ΙΚΑΡΙΑΣ,ΕΥΔΗΛΟΥ,Ευδήλου,Αγία Κυριακή,η,η,,,,False,1.0
10595,4615401020103,Δεκάκια,4,4,0,0,0,0,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΙΚΑΡΙΑΣ,ΙΚΑΡΙΑΣ,ΕΥΔΗΛΟΥ,Ευδήλου,Δεκάκια,τα,τα,,,,False,1.0
